Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,1.1147562147301802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0.9150005742488063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0.5582888130253866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.037494951375974,0,0,0
2020-03-04,0,0,0,0,0.7660163225820278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.270290649625387,0,0,0
2020-03-05,0,0,0,0,0.9400670439810609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.323367457775398,0,0,0
2020-03-06,0,0,0,0,1.0656109446100204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.172533471682746,0,0,0
2020-03-07,0,0,0,0,1.1223737128023403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.021182210678138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9481270221272644,0,0,0
2020-03-08,0,0,0,0,1.1200434635532082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92162643324296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8243183522591182,0,0,0
2020-03-09,0,0,0,0,1.2525653356825224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3869413685265064,0,0,0,0,0,0,0,0,0,0,4.010725969312535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6596785440104453,0,0,0
2020-03-10,0,0,0,0,1.2321024199912458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.850415724436082,0,0,0,0,0,0,0,0,0,0,2.7589302072381257,0,0,0,0,0,0,0,0,0,0,0.8248343822293878,0,0,0,1.6237286826573154,0,0,0
2020-03-11,0,0,0,0,1.1654834629698665,2.2312818739349085,0,0,0,0,2.806003627747911,0,0,0,0,0,0,0,0,0,0,3.514095126166815,0,0,0,0,0,0,0,0,0,0,2.15827699490884,0,0,0,0,0,0,0,0,0,0,0.7252431041783602,0,0,0,1.5765659479337528,0,0,0
2020-03-12,0,0,0,0,1.1314332334047514,1.946731293758872,0,0,0,1.6639539379791262,2.2875912940437257,0,0,1.9017194661656642,0,0,0,0,0,0,0,2.7804660410324997,0,0,0,0,0,0,0,0,0,0,1.774392366503077,0,0,0,0,0,0,0,0,0,0,0.795006303379217,0,0,0,1.6453186761064909,0,0,0
2020-03-13,0,0,0,0,1.1297327319508823,2.463859980582645,0,0,0,1.8079690849811607,1.7091307450177422,0,0,2.1367023945732377,0,0,0,0,0,0,0,2.203256411255766,0,0,0,0,0,0,0,0,2.456969485194082,0,1.5713520562069725,0,0,0,0,0,2.1536577244841806,0,0,0,0,1.033418898601883,0,0,0,1.5903321047065853,0,0,0
2020-03-14,0,0,0,0,1.126413820955599,2.671730067322927,0,0,0,1.9205701412553458,1.5928153259388882,0,0,2.167290632127443,0,0,0,0,0,0,0,1.5305817326480144,0,0,0,0,0,0,0,0,2.41386150580041,0,1.7265593417565088,0,0,0,0,1.176502466449683,2.0578444603793247,0,0,0,2.5263078867940467,1.1443285904186653,0,0,2.8866124401434483,1.477243251176112,0,0,0
2020-03-15,0,0,0,0,1.0794062579996722,2.5107052067709485,0,0,0,2.0085583744521323,1.6437358711361363,0,0,2.0435133483762353,0,0,0,0,4.2914675252003,0,1.6166949168183988,1.1203115921459739,0,2.894580505302897,0,0,0,0.6884363718582409,0,0,2.262133121139386,0,1.736342265977406,1.6963583205161448,0,2.793115792923586,0,1.1979053982416135,2.0190499467546057,0,0,0,2.3678803626128015,1.2377340990604226,0,0,2.358587608689392,1.2763965689128016,0,2.9908306729993774,0
2020-03-16,0,0,0,0,1.222302810850585,2.1985865303878995,3.1251891345998075,0,0,1.8698900479977092,1.7273087414505024,0,0,1.8155598244189504,0,0,0,0,3.2633510836231787,0,1.4853153869141682,0.7760029254743882,3.7400144947876752,2.8736214497542116,0,0,0,0.5948808490674243,2.256879499030431,0,2.407808612322965,0,1.7502512286284517,1.7057629181894454,0,3.115315259767748,0,1.0900141076928804,2.0103365633309376,0,1.3749900248853295,0,2.0913439419388986,1.1544289986034426,2.4690178720189273,0,2.029235001624251,1.048906280752306,0,2.760106595984398,0
2020-03-17,0,0,0,0,1.2768051229612307,1.7109623737435529,3.0142527235070586,0,1.1789462799137167,1.9178834155812623,1.7357257095232406,0,0,1.84758182368292,0,0,0,0,2.946975674465614,0,1.5443345257197474,0.8532174834096349,3.043562389337902,2.561684918505914,0,0,0,0.4540997074925929,1.996170235999374,0,2.49552837794805,0,1.7633634095271842,1.512341138457197,0,3.0227857534251434,0,1.006932792758287,1.8515023767652456,0,1.5928166790468565,0,1.9629134416895044,1.1415107841353085,2.5445330254112317,0,1.780502628136102,0.9688636355729245,0,2.4746144253695324,0
2020-03-18,0,0,0,1.7782128774307235,1.2609255191147635,1.414843790952665,2.7168923195625285,0,1.376584176532913,1.8797693957781139,1.8357677763478182,0,0,2.0370063198509136,1.2511178747183536,0.8279631385248174,0,1.1557353411388935,2.7755493784682628,3.977866895774648,1.779897749376092,0.8763664522457473,1.7346127135307803,2.2060239873443415,2.952376005299821,0,0,0.5258602998043752,1.9102286544807012,1.9558033936367174,2.631297510298653,0,1.8803775881298577,1.3399882456890644,0,2.7009703424901463,0,0.9708514957259075,1.6880770484043022,1.2834692134321903,1.7037383160212962,0,1.635861596648302,1.207080202745427,2.4217755741963236,0,1.3653499152425794,0.8789295188053177,0,2.350876644150354,0
2020-03-19,2.3821614575266628,0,1.5180316521403663,2.027291230146084,1.230557134177156,1.1980000643609063,2.5953578124102634,0,1.7085861705873793,1.9727596721306053,1.78772719924667,0,0,2.1628121789790082,1.497667803298293,0.9907737964017289,1.7035620786130783,1.2643465059042043,2.226124872350372,3.445777397384374,1.7670476900766352,0.9563494098524541,2.089699072946532,1.8613499120022543,2.2654135851655424,2.2586744917484776,0,0.5572012526790702,1.805501331256521,2.066418991992312,2.6888900962669253,1.198945732025651,2.1900669252443112,1.6019033514719387,0,2.088177455855536,2.749213969221417,1.105996632079325,1.5250446696336977,0.751432414134203,1.779911496274046,0,1.7617171464543708,1.3705997643883807,2.1712733408438534,0,1.084800160340708,0.8507268769886889,0,2.1026403057907435,0
2020-03-20,2.0448335051209146,0,1.7792132180486058,2.2153699842159433,1.214211779799701,1.1809459578921826,2.4190219520762226,2.3402209964109852,1.7097247084669895,2.113115962087963,1.8508003460943367,2.0931957989466587,1.9959038236087512,2.25881102199975,1.6353270413600471,1.0032236278093767,1.8956850896054367,1.250109608912244,1.9745255139489255,2.720138110012183,1.7906304735611647,1.0578963857727748,2.679437983586437,1.569134370791645,2.5780995420072514,2.7390391595658645,0,0.6227146284372536,2.0267941050539187,2.0256638493253614,2.6480277766266127,1.1401508104316256,2.5187961120206808,1.7728749930464902,0,1.8335016119748289,2.5694538712374615,1.1867475367671658,1.6707681290336902,0.9416296983352302,1.7995403728082582,0,2.014376446430263,1.7149928445506606,1.6150497269724702,0,1.0542718519723455,0.8483540037386295,0,2.1740252632172243,0
2020-03-21,1.822402077991529,0,2.101925768893278,2.155421807919424,1.1688959067973408,1.2432029402249007,2.229684510445302,2.009808405100074,1.8313518946124496,2.001468309950325,1.8679521848202558,1.9310523071280672,2.3511564300520345,2.282844791133817,1.8605295292856265,1.1214706354733928,1.981599608475579,1.4689540056674315,2.0213075672326903,1.7562748800262384,1.8760753333960603,1.1527718096450181,3.078245401809512,1.2904081804524354,2.695481255640484,2.944010101935309,0,0.6953265742477986,1.8706927373142714,1.6505671104753405,2.5931142816114843,1.1748692084647594,2.8023912622737153,1.9374056561154553,0,1.867277531642613,2.0881798718297393,1.2558482827573705,1.7659297399743488,1.223527974813448,1.8577971736815262,0,2.1481978169823797,2.0464136341894434,1.540567157533728,1.6401213757355095,1.203529124439591,0.8855191644854858,0,2.194834700025686,0
2020-03-22,1.7618003017749113,0,2.2786728157580853,2.2527120060778074,1.1347147095022647,1.3565930827722688,1.994571945587647,1.7810020907861106,1.7249764810741224,1.93029933275172,1.8445286706895283,1.81519635990279,2.3226666603019175,2.3025167592441296,2.1325303907248734,1.3071003710012241,1.8419425928556734,1.6209185981056589,1.8855052863067598,1.4600654802145767,1.8302079240663374,1.2426136871186528,3.378352687925091,1.183925031898914,2.8271448236274828,2.7379046067021444,1.580570968885863,0.6762175971490278,1.5466147609592238,1.4457513108752704,2.3814541881090037,1.2072223298241,2.8807627327428653,2.1299450145338232,0,1.9469507428242838,1.7980044339914625,1.2109445632028206,1.893511806906849,1.3969194931855409,1.8537177616557234,0,2.1607820069439283,2.1538329947545964,1.5172177296758127,1.5701558558980824,1.3710722991130297,0.8661660441177836,0,2.0830790217636492,0
2020-03-23,1.6309259745133144,1.6548278459279526,2.479173566845052,2.2498314489409394,1.1105714647157758,1.427620256382526,1.7605294228419632,1.50427148630998,1.5397289401738181,1.7337104737155409,1.755440049387318,1.7641874328412332,1.8538018595257229,2.0240068126961477,2.262280452897286,1.289948282781161,1.5868811771368856,1.5912827428637923,1.761669012611522,1.151443462828205,1.6261224010684834,1.3145281361891215,3.2176189980291783,1.31358352296197,2.5845272851507346,2.557278803342803,1.6473058810173873,0.6671606376949617,1.480419684818509,1.2530494143335569,2.289393729361956,1.2904516931546461,2.738346234856095,1.9947530775635234,1.9001215644255698,1.9536954705516232,1.3656702961653573,1.113558730456016,1.8993934329512836,1.464421250425104,1.853777235185433,0,2.0423002423319465,1.981159099305318,1.5977608374339263,1.6820742161454514,1.4021221045098864,0.8545126934157525,0,1.80757254041349,0
2020-03-24,1.4800617121318231,1.5579738908401548,2.4335074971884723,1.8651012352585599,1.0941770561438053,1.4382392023132455,1.7201295955338045,1.4250202718464353,1.4363953655080308,1.5332855205161078,1.6178823196198278,1.6644673692914531,1.6386236745584926,1.6849065309060411,2.2958624698577115,1.2815946065730905,1.395601929813064,1.4859761616867306,1.5935838965070221,1.0536876128517545,1.4364394939923004,1.4362739124362447,2.7244283510084184,1.2883386348612185,2.3330214330423082,2.437623110210618,1.424384039028526,0.5968461576107142,1.3173982981387091,1.0857741750614653,2.1263091295100347,1.276943415911809,2.382921200566267,1.7488932680040317,1.2987387280985978,1.8971329052885424,1.1618188189640302,1.0784451453548534,1.8293270771350958,1.3638154085746328,1.7710636315863986,0,1.8893826862902823,1.6274441146041347,1.5830840070115033,1.685389917054266,1.4082288985335212,0.8530931559964294,2.5565768993315166,1.5196155771673951,0.7251071346397006
2020-03-25,1.4681357632380692,1.6101671700904423,2.2128531333381245,1.5052823247289915,1.0922577031965557,1.3590434439718329,1.7259270852795967,1.4474319576976797,1.23050950382125,1.481169937385086,1.4560325189936236,1.3152276400832248,1.4822932026002291,1.4917784944903045,2.1912779649951526,1.2941406690338122,1.2327061428789645,1.3992954024918651,1.4770599461494331,1.048575069157345,1.324602316370419,1.6341496440274126,1.857734278380597,1.2196487395425197,2.0162283733188815,2.2091113383394343,1.3079967512329727,0.5718471824952789,1.2842872141824844,1.1137935442411526,1.9174497263124137,1.189967552136032,2.034693425705801,1.6293770291835135,0.7061927291442263,1.7813823820902446,1.2673768317516452,1.0494275742301031,1.7704131985770082,1.251815374599326,1.6105413553881522,1.1659224634116185,1.603443874974379,1.3818264845389436,1.4940531538521784,1.7061976381491684,1.4227692146899038,0.7715580551269308,2.2460013642414394,1.322500434351176,0.8996244040805272
2020-03-26,1.600120802461048,1.8579436346350033,2.015687240467915,1.2913864986889,1.1270159883714097,1.3278702439796275,1.784166340437359,1.3846736073170196,1.2645270289451132,1.4382485364446627,1.305497301915336,1.0708657040108447,1.7169901597156971,1.4197181589006505,2.0614938462197925,1.280805839566074,1.2502491841688368,1.3387070014588853,1.4115671127040224,1.006678592805304,1.2781940016192272,1.798090239306968,1.6426461070677405,1.1133552746885769,1.6790400423068448,1.9901089651330137,1.4326628703038493,0.5380814778512897,1.2493704797278589,1.0676561262178055,1.9608581820422355,1.1220090928159312,1.7049374406646858,1.5206812992119572,0.733940560630812,1.6028877032860986,1.6248687530203547,0.9956982746710169,1.759696132209657,1.2327863226161329,1.3350135519696453,1.3016692754439303,1.408979205578418,1.2779460709234842,1.321139278114592,1.6134126207137514,1.5313691743193338,0.7848626221485686,2.266611955134901,1.1942511945809944,0.9821318619168438
